country,import_country,imports,exports
United Arab Emirates,India,28583.0745649068,4414.88748681
United Arab Emirates,China,20799.6968106304,4371.58112915
United Arab Emirates,United States of America,4294.010673076,3727.54829911
United Arab Emirates,Japan,2348.284498992,12707.941228117
United Arab Emirates,South Korea,2133.51770258,5671.10500884
United Arab Emirates,Germany,1884.62753898341,0.0
United Arab Emirates,Indonesia,1612.51691442292,0.0
United Arab Emirates,United Kingdom,1254.7775958858,1542.90632747
United Arab Emirates,Others,13914.9185531333,11157.9782103263
United Arab Emirates,Thailand,0.0,1808.51778845
United Arab Emirates,Kenya,0.0,1074.067820708
Madagascar,China,890.53118532585,32.64370692
Madagascar,India,194.12180104314,0.0
Madagascar,South Africa,121.0929979371,0.0
Madagascar,United States of America,96.0563560855,108.13151357
Madagascar,France,87.96217418821,159.544715937
Madagascar,Japan,50.8475985105,35.774201687
Madagascar,Germany,48.7084998549287,54.56374325
Madagascar,Mauritius,38.1752236649,23.411731476
Madagascar,Others,419.95761069149,216.73687369639
Madagascar,Indonesia,0.0,42.464659193
Madagascar,United Kingdom,0.0,33.049699871
Tonga,Others,0.0,0.0
Ecuador,United States of America,3200.395540027,1879.7140587
Ecuador,China,1750.73933145611,243.91597929
Ecuador,Colombia,793.53939238,935.62891857
Ecuador,Brazil,531.8945986857,0.0
Ecuador,Venezuela,495.8878045388,0.0
Ecuador,Chile,447.1144541163,382.56393944
Ecuador,Germany,309.807396943751,0.0
Ecuador,Mexico,288.551258224831,0.0
Ecuador,Others,3146.19334050697,2724.18577151901
Ecuador,Peru,0.0,465.307203581
Ecuador,Panama,0.0,458.70125745
Ecuador,South Korea,0.0,407.57970954
Ecuador,Japan,0.0,310.07724948
Palau,Others,0.0,0.0
Azerbaijan,China,695.23283819882,179.13873882
Azerbaijan,Turkey,612.0710764643,298.3451817
Azerbaijan,United States of America,293.4878040654,236.00478888
Azerbaijan,India,152.1056434795,0.0
Azerbaijan,Germany,149.173538199194,575.9409314
