country,serie,2018,2015,2014,2017,2016,2011,2010,2013,2012,1991,1990,1993,1992,1995,1994,1997,1996,1999,1998,2002,2003,2000,2001,2006,2007,2004,2005,2008,2009
Luxembourg,Territorial Emissions,10.992,10.992,10.992,10.992,7.328,10.992,10.992,10.992,10.992,10.992,10.992,10.992,10.992,7.328,10.992,7.328,10.992,7.328,7.328,10.992,10.992,7.328,10.992,10.992,10.992,10.992,10.992,10.992,10.992
Malaysia,Territorial Emissions,252.816,234.496,241.824,245.488,245.488,216.176,216.176,234.496,216.176,69.616,58.624,91.6,73.28,120.912,91.6,124.576,124.576,109.92,113.584,135.568,157.552,128.24,135.568,179.536,183.2,172.208,183.2,201.52,197.856
Ireland,Territorial Emissions,40.304,36.64,36.64,40.304,40.304,36.64,40.304,36.64,36.64,32.976,32.976,32.976,32.976,36.64,32.976,40.304,36.64,43.968,40.304,47.632,43.968,43.968,47.632,47.632,47.632,47.632,47.632,47.632,40.304
Uruguay,Territorial Emissions,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,7.328,3.664,7.328,7.328,3.664,3.664,3.664,3.664,7.328,7.328,7.328,7.328,7.328,7.328
Senegal,Territorial Emissions,10.992,10.992,7.328,10.992,10.992,7.328,7.328,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,3.664,3.664
Germany,Territorial Emissions,758.448,795.088,791.424,798.752,802.416,809.744,831.728,831.728,813.408,1014.928,1051.568,956.304,967.296,937.984,941.648,930.656,959.968,897.68,923.328,901.344,901.344,901.344,916.0,879.36,850.048,886.688,868.368,853.712,787.76
Honduras,Territorial Emissions,10.992,10.992,10.992,10.992,10.992,7.328,7.328,10.992,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,7.328,7.328,7.328,7.328,7.328,7.328,7.328
Uzbekistan,Territorial Emissions,91.6,102.592,106.256,91.6,91.6,113.584,102.592,102.592,113.584,113.584,109.92,117.248,109.92,102.592,109.92,106.256,106.256,120.912,117.248,128.24,128.24,120.912,124.576,120.912,120.912,124.576,117.248,124.576,106.256
Azerbaijan,Territorial Emissions,36.64,36.64,36.64,36.64,36.64,32.976,29.312,36.64,36.64,51.296,51.296,47.632,54.96,32.976,40.304,29.312,32.976,29.312,32.976,29.312,29.312,29.312,29.312,40.304,29.312,32.976,32.976,36.64,32.976
Turkey,Territorial Emissions,428.688,381.056,362.736,425.024,403.04,340.752,315.104,344.416,355.408,157.552,150.224,172.208,164.88,179.536,168.544,212.512,197.856,208.848,212.512,219.84,238.16,230.832,212.512,282.128,311.44,245.488,263.808,307.776,315.104
Norway,Territorial Emissions,43.968,43.968,43.968,43.968,43.968,43.968,47.632,43.968,43.968,32.976,36.64,36.64,32.976,40.304,36.64,40.304,40.304,43.968,43.968,43.968,43.968,43.968,43.968,43.968,47.632,43.968,43.968,43.968,43.968
Bahrain,Territorial Emissions,29.312,32.976,32.976,32.976,32.976,29.312,29.312,32.976,25.648,10.992,10.992,14.656,10.992,14.656,14.656,18.32,14.656,18.32,18.32,14.656,18.32,18.32,14.656,18.32,25.648,18.32,18.32,29.312,29.312
Serbia,Territorial Emissions,43.968,43.968,36.64,43.968,43.968,47.632,43.968,43.968,43.968,40.304,54.96,36.64,43.968,40.304,36.64,47.632,47.632,36.64,51.296,51.296,54.96,43.968,47.632,62.288,58.624,58.624,51.296,51.296,47.632
Uganda,Territorial Emissions,7.328,3.664,3.664,7.328,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,0.0,3.664,3.664,3.664
Portugal,Territorial Emissions,51.296,51.296,47.632,54.96,51.296,51.296,51.296,47.632,51.296,47.632,43.968,51.296,51.296,54.96,51.296,54.96,51.296,65.952,58.624,69.616,65.952,65.952,65.952,65.952,62.288,65.952,69.616,58.624,58.624
Zimbabwe,Territorial Emissions,10.992,10.992,10.992,10.992,10.992,10.992,7.328,10.992,7.328,14.656,14.656,14.656,18.32,14.656,18.32,14.656,14.656,14.656,14.656,10.992,10.992,14.656,10.992,10.992,10.992,10.992,10.992,7.328,7.328
Nigeria,Territorial Emissions,128.24,113.584,128.24,124.576,117.248,131.904,113.584,120.912,117.248,40.304,40.304,43.968,47.632,32.976,36.64,40.304,36.64,40.304,36.64,95.264,98.928,80.608,87.936,98.928,95.264,98.928,106.256,95.264,73.28
Bahamas,Territorial Emissions,0.0,3.664,3.664,0.0,0.0,0.0,3.664,3.664,3.664,3.664,3.664,0.0,3.664,0.0,0.0,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,3.664,0.0,3.664,0.0
Nicaragua,Territorial Emissions,7.328,3.664,3.664,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Benin,Territorial Emissions,7.328,7.328,3.664,7.328,7.328,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664
Tanzania,Territorial Emissions,10.992,10.992,10.992,10.992,10.992,7.328,7.328,10.992,10.992,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,3.664,7.328,7.328
Tunisia,Territorial Emissions,32.976,29.312,29.312,29.312,29.312,25.648,25.648,25.648,25.648,14.656,14.656,14.656,14.656,14.656,14.656,18.32,18.32,18.32,18.32,21.984,21.984,18.32,21.984,21.984,21.984,21.984,21.984,25.648,25.648
Congo,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,Territorial Emissions,7.328,7.328,3.664,7.328,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Austria,Territorial Emissions,69.616,65.952,65.952,69.616,65.952,69.616,73.28,69.616,65.952,65.952,62.288,62.288,58.624,65.952,62.288,65.952,65.952,65.952,65.952,73.28,76.944,65.952,69.616,76.944,73.28,76.944,80.608,73.28,65.952
Pakistan,Territorial Emissions,223.504,183.2,179.536,212.512,197.856,168.544,164.88,172.208,164.88,65.952,69.616,76.944,73.28,84.272,84.272,95.264,95.264,98.928,95.264,113.584,117.248,106.256,106.256,142.896,157.552,128.24,135.568,153.888,153.888
Vanuatu,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,Territorial Emissions,29.312,21.984,29.312,25.648,25.648,21.984,14.656,43.968,36.64,10.992,10.992,10.992,10.992,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,10.992,10.992,7.328,7.328,10.992,14.656
Belize,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Territorial Emissions,615.552,505.632,366.4,582.576,560.592,509.296,428.688,410.368,527.616,179.536,150.224,219.84,205.184,227.168,223.504,282.128,256.48,245.488,216.176,307.776,315.104,267.472,296.784,348.08,377.392,340.752,344.416,417.696,447.008
Mauritius,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Fiji,Territorial Emissions,3.664,3.664,0.0,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,Territorial Emissions,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,18.32,18.32,10.992,14.656,7.328,10.992,7.328,10.992,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328
Switzerland,Territorial Emissions,36.64,40.304,40.304,36.64,40.304,40.304,43.968,43.968,43.968,47.632,43.968,43.968,47.632,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968,43.968
